filename;TotalPeopleInBurst;MaximumChangeBurstLate;NumberOfChanges;MaxPeopleInBurst;TotalBurstSizeLate;NumberOfChangeBurstsLate;NumberOfChangesLate;NumberOfChangesEarly;MaxChurnInBurst;MaximumChangeBurstEarly;NumberOfChangeBurstsEarly;TimeFirstBurst;TotalChurnInBurst;ChurnTotal;MaximumChangeBurst;NumberOfConsecutiveChangesEarly;NumberOfConsecutiveChangesLate;TotalBurstSizeEarly;TotalBurstSize;TimeMaxBurst;NumberOfConsecutiveChanges;TimeLastBurst;NumberOfChangeBursts;PeopleTotal;bugs
org.eclipse.core.internal.resources.mapping;1;0;3;1;1;1;1;2;6;0;1;32;11;0;2;1;0;2;3;32;1;45;2;1;0
org.eclipse.ui.ide.dialogs;1;0;7;1;0;0;2;5;164;5;2;12;164;2;5;3;2;7;7;35;5;35;2;2;1
org.eclipse.jface.text.templates;0;0;8;0;0;0;3;5;810;4;2;7;908;0;4;3;3;8;8;7;6;35;2;0;0
org.eclipse.jdi.internal.spy;1;0;4;1;0;0;0;4;60;2;3;1;77;8;2;1;0;4;4;1;1;35;3;1;0
org.eclipse.jface.action;1;0;3;1;0;0;0;3;12930;2;2;2;13304;1129;2;1;0;3;3;2;1;35;2;3;4
org.eclipse.pde.internal.core.ifeature;1;0;3;1;0;0;0;3;156;0;1;31;156;14;3;2;0;3;3;31;2;31;1;1;0
org.eclipse.ui.texteditor.spelling;2;0;7;1;0;0;2;5;172;4;2;24;209;42;4;3;2;7;7;35;5;35;2;2;0
org.eclipse.team.internal.core.streams;1;0;2;1;0;0;0;2;42;0;1;35;42;6;2;1;0;2;2;35;1;35;1;1;0
org.eclipse.team.internal.ccvs.ui.operations;1;0;12;1;0;0;0;12;2061;0;1;8;2061;208;12;11;0;12;12;8;11;8;1;1;5
org.eclipse.jdt.internal.compiler;0;0;7;0;0;0;0;7;3639;4;3;1;5586;0;4;4;0;7;7;17;4;35;3;0;9
org.eclipse.jdt.internal.codeassist;0;0;9;0;0;0;1;8;2699;6;2;1;3632;0;6;6;1;9;9;1;7;35;2;0;2
org.eclipse.swt.internal.carbon;1;0;24;1;0;0;6;18;189;0;1;7;189;0;24;17;6;24;24;7;23;7;1;1;1
org.eclipse.ui.internal.ide.update;2;0;3;2;0;0;0;3;85;2;2;2;100;100;2;1;0;3;3;33;1;33;2;2;0
org.eclipse.update.internal.ui.model;0;0;7;0;0;0;0;7;145;6;2;12;287;0;6;5;0;7;7;12;5;36;2;0;0
com.sun.jdi;2;0;3;1;0;0;0;3;548;2;2;6;634;160;2;1;0;3;3;6;1;35;2;3;0
org.eclipse.jface.viewers.deferred;0;0;4;0;0;0;0;4;196;0;1;32;196;0;4;3;0;4;4;32;3;32;1;0;0
org.eclipse.ui.texteditor.quickdiff;0;0;7;0;0;0;2;5;128;5;2;21;140;0;5;3;2;7;7;35;5;35;2;0;0
