"filename";"TotalPeopleInBurst";"MaximumCodeBurstLate";"NumberOfChanges";"MaxPeopleInBurst";"TotalBurstSizeLate";"NumberCodeBurstsLate";"NumberOfChangesLate";"NumberOfChangesEarly";"MaxChurnInBurst";"MaximumCodeBurstEarly";"NumberCodeBurstsEarly";"TimeFirstBurst";"TotalChurnInBurst";"ChurnTotal";"MaximumCodeBurst";"NumberOfConsecutiveChangesEarly";"NumberConsecutiveChangesLate";"TotalBurstSizeEarly";"TotalBurstSize";"TimeMaxBurst";"NumberConsecutiveChanges";"TimeLastBurst";"NumberCodeBursts";"PeopleTotal";"bugs"
"152";"org.eclipse.jdt.internal.ui.text.template.preferences";3;0;4;2;0;0;1;3;80;2;2;35;104;56;2;1;1;4;4;35;2;42;2;3;0
"153";"org.eclipse.help.ui.internal.search";0;0;3;0;0;0;0;3;148;0;1;29;148;0;2;1;0;2;2;29;1;29;1;0;0
"154";"org.eclipse.help.internal.context";1;0;5;1;0;0;0;5;58;2;2;8;114;8;2;2;0;4;4;8;2;34;2;1;0
"155";"org.eclipse.team.internal.ui.synchronize";0;0;5;0;0;0;0;5;84;0;1;7;84;534;2;1;0;2;2;7;1;7;1;2;1
"156";"org.eclipse.jface.text.contentassist";0;0;13;0;0;0;3;10;135;2;2;7;161;56;2;2;0;4;4;7;2;23;2;2;0
"157";"org.eclipse.pde.internal.ui.wizards.templates";3;0;8;2;0;0;0;8;736;2;2;8;851;143;2;2;0;4;4;8;2;41;2;3;0
"158";"org.eclipse.ui.externaltools.internal.menu";0;0;2;0;0;0;0;2;0;0;0;-1;0;24;0;0;0;0;0;-1;0;-1;0;1;0
"159";"org.eclipse.pde.internal.ui.editor.build";0;0;7;0;0;0;0;7;72;0;1;1;72;8;2;1;0;2;2;1;1;1;1;1;0
"160";"org.eclipse.core.internal.expressions";0;0;6;0;0;0;1;5;14;0;1;10;14;48;2;1;0;2;2;10;1;10;1;1;0
"161";"org.eclipse.jdt.internal.ui.propertiesfileeditor";2;0;9;2;0;0;1;8;935;3;3;16;1599;523;3;3;1;7;7;41;4;41;3;3;1
