"filename";"TotalPeopleInBurst";"MaximumCodeBurstLate";"NumberOfChanges";"MaxPeopleInBurst";"TotalBurstSizeLate";"NumberCodeBurstsLate";"NumberOfChangesLate";"NumberOfChangesEarly";"MaxChurnInBurst";"MaximumCodeBurstEarly";"NumberCodeBurstsEarly";"TimeFirstBurst";"TotalChurnInBurst";"ChurnTotal";"MaximumCodeBurst";"NumberOfConsecutiveChangesEarly";"NumberConsecutiveChangesLate";"TotalBurstSizeEarly";"TotalBurstSize";"TimeMaxBurst";"NumberConsecutiveChanges";"TimeLastBurst";"NumberCodeBursts";"PeopleTotal";"bugs"
"113";"org.eclipse.core.internal.refresh";0;0;8;0;0;0;1;7;0;0;0;-1;0;0;0;2;0;0;0;-1;2;-1;0;0;2
"114";"org.eclipse.help.internal.webapp.servlet";0;0;6;0;0;0;2;4;0;0;0;-1;0;0;0;0;1;0;0;-1;1;-1;0;0;0
"115";"org.eclipse.jdt.internal.ui.typehierarchy";0;0;4;0;0;0;0;4;0;0;0;-1;0;56;0;0;0;0;0;-1;0;-1;0;3;0
"116";"org.eclipse.ant.internal.ui.editor.actions";0;0;18;0;0;0;2;16;226;0;1;83;226;45;6;9;1;6;6;83;10;83;1;1;0
"117";"org.eclipse.update.internal.configurator";0;0;4;0;0;0;0;4;0;0;0;-1;0;65;0;1;0;0;0;-1;1;-1;0;2;0
"118";"org.eclipse.ui.internal.progress";0;0;7;0;0;0;0;7;0;0;0;-1;0;188;0;3;0;0;0;-1;3;-1;0;1;4
"119";"org.eclipse.jdt.internal.junit.ui";0;0;7;0;0;0;1;6;0;0;0;-1;0;102;0;1;0;0;0;-1;1;-1;0;4;6
"120";"org.eclipse.debug.ui.memory";0;0;6;0;0;0;0;6;0;0;0;-1;0;91;0;3;0;0;0;-1;3;-1;0;3;0
"121";"org.eclipse.ant.internal.ui.views.actions";0;0;7;0;0;0;0;7;0;0;0;-1;0;0;0;1;0;0;0;-1;1;-1;0;0;0
"122";"org.eclipse.jdt.internal.compiler.problem";0;0;10;0;0;0;2;8;1628;0;1;4;1628;8;7;6;1;7;7;4;7;4;1;1;4
"123";"org.eclipse.jdt.internal.debug.core.refactoring";0;0;4;0;0;0;0;4;0;0;0;-1;0;26;0;1;0;0;0;-1;1;-1;0;2;0
"124";"org.eclipse.ui.branding";0;0;2;0;0;0;0;2;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
