filename;TotalPeopleInBurst;MaximumChangeBurstLate;NumberOfChanges;MaxPeopleInBurst;TotalBurstSizeLate;NumberOfChangeBurstsLate;NumberOfChangesLate;NumberOfChangesEarly;MaxChurnInBurst;MaximumChangeBurstEarly;NumberOfChangeBurstsEarly;TimeFirstBurst;TotalChurnInBurst;ChurnTotal;MaximumChangeBurst;NumberOfConsecutiveChangesEarly;NumberOfConsecutiveChangesLate;TotalBurstSizeEarly;TotalBurstSize;TimeMaxBurst;NumberOfConsecutiveChanges;TimeLastBurst;NumberOfChangeBursts;PeopleTotal;
org.eclipse.team.internal.ccvs.ssh;0;0;3;0;0;0;0;3;38;2;2;161;40;8;2;1;0;3;3;1541;1;1541;2;1;
org.eclipse.jdt.internal.corext.refactoring.changes;1;1;8;1;2;2;2;6;783;2;5;443;1212;2;2;1;0;6;8;443;1;6340;7;1;
org.eclipse.pde.core.build;0;1;4;0;2;2;2;2;174;1;2;3986;207;0;1;0;0;2;4;3986;0;6336;4;0;
org.eclipse.jdt.internal.ui.text;1;1;19;1;2;2;2;17;1209;1;17;122;2491;205;1;0;0;17;19;122;0;6340;19;3;
org.eclipse.ant.internal.ui.preferences;1;1;31;1;3;3;3;28;1036;2;25;1811;2653;424;2;3;0;28;31;1811;3;5802;28;1;
org.eclipse.osgi.framework.internal.protocol.reference;0;1;5;0;3;3;3;2;61;1;2;3013;97;0;1;0;0;2;5;3013;0;6337;5;0;
org.eclipse.swt.browser;2;0;8;1;1;1;1;7;494;2;5;1654;1411;19;2;2;0;7;8;1654;2;6352;6;2;
org.eclipse.jdt.internal.ui.viewsupport;1;0;4;1;1;1;1;3;67;2;2;435;142;6;2;1;0;3;4;505;1;6340;3;2;
org.eclipse.jdt.internal.ui.util;0;0;3;0;1;1;1;2;34;1;2;1386;45;0;1;0;0;2;3;1386;0;6340;3;0;
org.eclipse.jdt.internal.corext.refactoring.sef;0;0;7;0;1;1;1;6;135;1;6;882;180;0;1;0;0;6;7;882;0;6340;7;0;
org.eclipse.osgi.framework.adaptor;4;1;5;1;2;2;2;3;277;2;2;3013;338;99;2;1;0;3;5;3013;1;6337;4;4;
org.eclipse.osgi.framework.internal.reliablefile;0;1;7;0;3;3;3;4;1084;2;3;3013;1669;0;2;1;0;4;7;3013;1;5856;6;0;
org.eclipse.jdt.core.dom.rewrite;2;2;12;1;5;4;5;7;110;2;6;4711;316;26;2;1;1;7;12;4802;2;5404;10;3;
org.eclipse.ant.core;0;1;16;0;2;2;2;14;243;2;11;0;495;0;2;3;0;14;16;642;3;6335;13;0;
org.eclipse.core.internal.registry;0;1;12;0;5;5;5;7;5618;2;6;2105;8942;0;2;1;0;7;12;2105;1;5760;11;0;
org.eclipse.jface.text.source;2;1;15;1;5;5;5;10;592;1;10;682;1797;207;1;0;0;10;15;682;0;6361;15;3;
org.eclipse.jdt.internal.ui.search;3;0;9;1;1;1;1;8;633;2;7;274;1915;908;2;1;0;8;9;274;1;5396;8;4;
org.eclipse.jdt.internal.ui.refactoring.reorg;3;0;12;1;1;1;1;11;294;2;8;1047;532;473;2;3;0;11;12;1047;3;6340;9;5;
org.eclipse.swt.layout;0;0;6;0;1;1;1;5;109;2;4;398;196;0;2;1;0;5;6;3461;1;6352;5;0;
org.eclipse.pde.core;2;1;6;1;3;3;3;3;597;2;2;2229;807;39;2;1;0;3;6;2229;1;6336;5;2;
org.eclipse.jdt.internal.ui.macbundler;1;0;2;1;0;0;0;2;0;0;1;3622;0;0;2;1;0;2;2;3622;1;3622;1;1;
org.eclipse.ui.forms.editor;0;1;16;0;5;5;5;11;384;2;10;4068;712;0;2;1;0;11;16;4068;1;6336;15;0;
org.eclipse.swt.dnd;0;0;2;0;0;0;0;2;50;0;1;0;50;223;2;1;0;2;2;0;1;0;1;5;
